respondent_id,question,response
77,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
77,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
77,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
78,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
78,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
80,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
80,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
81,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
81,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
81,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
83,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
83,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
83,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
84,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
85,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
88,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
89,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
89,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
89,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
91,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
91,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
92,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
92,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
93,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
93,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
96,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
96,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
96,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
101,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
102,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
102,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
105,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
105,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
106,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
111,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
114,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
114,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
115,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
115,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
116,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
116,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
120,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
120,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
120,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
121,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
122,Please tick the companies where you feel you are a customer/user of their services today.,None of the above
123,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
124,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
124,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
124,Please tick the companies where you feel you are a customer/user of their services today.,Scandic Hotels
124,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
127,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
128,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
130,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
134,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
134,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
134,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
135,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
135,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
137,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
137,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
137,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
138,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
138,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
138,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
139,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Hotel
139,Please tick the companies where you feel you are a customer/user of their services today.,Comfort Hotel
139,Please tick the companies where you feel you are a customer/user of their services today.,Elite Hotels
139,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
143,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
145,Please tick the companies where you feel you are a customer/user of their services today.,Strawberry
146,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
146,Please tick the companies where you feel you are a customer/user of their services today.,Radisson Blu
147,Please tick the companies where you feel you are a customer/user of their services today.,Best Western
147,Please tick the companies where you feel you are a customer/user of their services today.,Clarion Collection
147,Please tick the companies where you feel you are a customer/user of their services today.,Quality Hotel
