respondent_id,interest
247,Shopping
247,Plants
247,growing & gardening
251,Health & wellness
251,Music and theatre
251,Entertainment & celebrities
251,Travelling abroad
251,Theatre
251,dance & other performing arts
255,Books/literature
255,Economy & business
255,Fitness & training
255,Outdoor recreation
255,Health & wellness
255,Hunting or fishing
255,Arts & Crafts
255,Music and theatre
255,Natural sciences
255,Entertainment & celebrities
255,Foreign news & foreign policy
255,Practising a sport
255,Plants
255,growing & gardening
258,Outdoor recreation
258,Hunting or fishing
258,Music and theatre
258,Natural sciences
258,Plants
258,growing & gardening
259,Books/literature
259,Fitness & training
259,Outdoor recreation
259,Sustainability & environment
259,Health & wellness
259,Arts & Crafts
259,Cookery
259,Natural sciences
259,New technologies & digitalisation
259,Theatre
259,dance & other performing arts
259,Practising a sport
259,Plants
259,growing & gardening
263,Cars and lorries
263,Books/literature
263,Economy & business
263,Films
263,Health & wellness
263,Interior design
263,Arts & Crafts
263,Fashion and clothing
263,Music and theatre
263,New technologies & digitalisation
263,Entertainment & celebrities
263,Travelling abroad
263,Shopping
263,Beauty news
263,Theatre
263,dance & other performing arts
266,Cars and lorries
266,Fitness & training
266,Outdoor recreation
266,Sustainability & environment
266,Practising a sport
267,Economy & business
267,Fitness & training
267,Outdoor recreation
267,Health & wellness
267,New technologies & digitalisation
267,Sports news
267,Practising a sport
268,Economy & business
268,Travelling abroad
269,Books/literature
269,Economy & business
269,Films
269,Fitness & training
269,Health & wellness
269,Politics
269,Series on TV or online
269,Practising a sport
269,Plants
269,growing & gardening
270,Books/literature
270,Economy & business
270,Films
270,Fitness & training
270,Health & wellness
270,Arts & Crafts
270,Cookery
270,Fashion and clothing
270,Travelling abroad
270,Beauty news
270,Foreign news & foreign policy
270,Practising a sport
271,Outdoor recreation
271,Construction & carpentry
271,Sustainability & environment
271,Health & wellness
271,Interior design
271,Arts & Crafts
271,Local news
271,Cookery
271,Politics
271,Travelling abroad
271,Plants
271,growing & gardening
276,Economy & business
276,Sustainability & environment
276,Politics
276,Travelling abroad
279,Books/literature
279,Health & wellness
279,Local news
279,Sports news
281,Sustainability & environment
281,Local news
281,Cookery
281,Travelling abroad
281,Foreign news & foreign policy
282,Cars and lorries
283,Sustainability & environment
283,Local news
283,Travelling abroad
283,Plants
283,growing & gardening
286,Books/literature
286,Construction & carpentry
286,Health & wellness
286,Music and theatre
286,Entertainment & celebrities
286,Plants
286,growing & gardening
287,Fitness & training
287,Local news
287,Music and theatre
287,Entertainment & celebrities
287,Politics
287,Travelling abroad
287,Shopping
287,Theatre
287,dance & other performing arts
287,Practising a sport
289,Sustainability & environment
289,Cookery
289,New technologies & digitalisation
290,Economy & business
290,Health & wellness
290,Music and theatre
290,Travelling abroad
290,Sports news
290,Foreign news & foreign policy
290,Practising a sport
291,Books/literature
291,Fitness & training
291,Outdoor recreation
291,Health & wellness
291,Interior design
291,Fashion and clothing
291,Music and theatre
291,Travelling abroad
291,Shopping
291,Beauty news
291,Practising a sport
292,Books/literature
292,Films
292,Fitness & training
292,Outdoor recreation
292,Health & wellness
292,Interior design
292,Arts & Crafts
292,Music and theatre
292,Entertainment & celebrities
292,Travelling abroad
292,Theatre
292,dance & other performing arts
292,Plants
292,growing & gardening
294,Outdoor recreation
294,Sustainability & environment
294,Health & wellness
294,Arts & Crafts
294,Local news
294,Natural sciences
294,New technologies & digitalisation
294,Travelling abroad
294,Plants
294,growing & gardening
295,Books/literature
295,Films
295,Outdoor recreation
295,Arts & Crafts
295,Local news
295,Cookery
295,Music and theatre
295,Politics
295,Travelling abroad
295,Theatre
295,dance & other performing arts
295,Foreign news & foreign policy
295,Plants
295,growing & gardening
300,Books/literature
300,Films
300,Fitness & training
300,Health & wellness
300,Interior design
300,Arts & Crafts
300,Local news
300,Fashion and clothing
300,Music and theatre
300,Entertainment & celebrities
300,Travelling abroad
300,Series on TV or online
300,Shopping
300,Beauty news
300,Sports news
300,Theatre
300,dance & other performing arts
300,Foreign news & foreign policy
300,Practising a sport
301,Outdoor recreation
301,Health & wellness
301,Interior design
301,Local news
301,Cookery
301,Fashion and clothing
301,Music and theatre
301,Politics
301,Travelling abroad
301,Series on TV or online
301,Theatre
301,dance & other performing arts
301,Foreign news & foreign policy
301,Plants
301,growing & gardening
306,Books/literature
306,Films
306,Fitness & training
306,Outdoor recreation
306,Gaming (e-sports
306,computer games
306,online games etc)
306,Sustainability & environment
306,Health & wellness
306,Hunting or fishing
306,Music and theatre
306,Natural sciences
306,Travelling abroad
306,Series on TV or online
306,Plants
306,growing & gardening
311,Books/literature
311,Economy & business
311,Fitness & training
311,Hunting or fishing
314,Economy & business
314,Fitness & training
314,Health & wellness
314,Music and theatre
314,Travelling abroad
317,Health & wellness
317,Arts & Crafts
317,Music and theatre
317,Theatre
317,dance & other performing arts
318,Arts & Crafts
318,Local news
318,Music and theatre
321,Books/literature
321,Sustainability & environment
321,Health & wellness
321,Local news
321,Music and theatre
321,Series on TV or online
321,Sports news
321,Plants
321,growing & gardening
323,Books/literature
323,Economy & business
323,Sustainability & environment
323,Local news
323,Music and theatre
323,Politics
323,Theatre
323,dance & other performing arts
323,Foreign news & foreign policy
324,Outdoor recreation
324,Health & wellness
324,Cookery
324,Music and theatre
